Government Revenue,Total individuals and other withholding,Projected
2005-06 ($m),114210,114210
2006-07 ($m),117415,117415
2007-08 ($m),125992,125992
2008-09 ($m),125541,125541
2009-10 ($m),122676,122676
2010-11 ($m),136393,136393
2011-12 ($m),151087,151087
2012-13 ($m),160203,160203
2013-14 ($m),167974,167974
2014-15 ($m),180836,180836
2015-16 ($m),189996,189996
2016-17 ($m),197388,197388
2017-18 ($m),211475,211475
2018-19 ($m),228445,228445
2019-20 ($m),229731,229731
2020-21 ($m),235664,235664
2021-22 ($m),264576,264576
2022-23 (est) ($m),303200,303200
2023-24 (est) ($m),,325900
2024-25 (est) ($m),,319800
2025-26 (est) ($m),,337400
2026-27 (est) ($m),,362500
